,Age,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,IncomeInvested,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome,Gender_F,Gender_M,Occupation_Clerk,Occupation_Doctor,Occupation_Engineer,Occupation_Lawyer,Occupation_Nurse,Occupation_Teacher,PreferredInvestmentType_Bonds,PreferredInvestmentType_Mutual Funds,PreferredInvestmentType_Real Estate,PreferredInvestmentType_Stocks,InvestmentDuration_Long-term,InvestmentDuration_Short-term,RiskTolerance_High,RiskTolerance_Low,RiskTolerance_Medium,Cluster
22,34,951.1804866,4,371.1608403,211.3949599,207.2950795,0.413658464,1,0,1,550,34932.10687,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1
23,23,298.0172938,13,280.0595613,204.4041589,227.2681377,0.21621629,1,1,0,637,31741.31476,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
24,42,1018.906287,3,268.9690011,121.9088463,230.4347692,0.421529388,0,0,0,570,27660.25198,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
25,34,338.3223868,13,220.1939462,212.3855976,194.730737,0.200285496,1,1,1,632,32038.93596,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1
26,36,1110.268885,4,379.1283596,223.0585717,193.2056648,0.507741917,0,0,0,577,46677.42231,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2
27,33,281.5305126,12,375.9782612,222.9147988,239.9674972,0.1671589,1,1,1,510,34018.53173,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
28,27,327.6135076,12,326.6638969,98.59226674,173.3040265,0.182866609,1,1,1,543,28492.70507,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
29,64,1074.376656,6,491.5848903,200.6533898,377.7085434,0.536108771,1,1,1,855,97605.43727,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
30,28,294.7911452,17,288.8749994,99.15540794,206.136105,0.255599316,1,0,0,589,22723.30622,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
31,38,1063.056277,6,174.080055,145.9291961,258.5853682,0.388647936,0,1,1,500,34317.3652,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
32,35,993.1944047,5,344.8448017,256.2660135,148.5306382,0.35643688,0,1,1,503,37008.27061,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,2
33,56,960.4360678,4,526.0640572,149.089077,364.1382189,0.515357686,1,0,1,675,109482.262,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
34,31,312.9552577,12,286.6639882,173.4452905,120.9951788,0.197068741,1,1,1,631,31229.99819,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
35,37,967.5074969,4,371.7280942,166.6679364,285.9114983,0.472608832,1,1,1,526,35920.51426,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
36,54,1086.399476,5,514.0282616,129.2574705,455.8805521,0.403387804,0,1,1,698,109450.7989,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
37,40,273.4041629,13,235.8454545,509.5985655,239.5139102,0.166354907,0,0,1,764,43219.3181,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
38,32,1035.824759,6,290.6280444,126.8289831,262.3166267,0.327507819,1,1,0,509,37055.29612,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
39,38,381.8670026,19,324.0768647,228.8340088,309.0798256,0.250523385,1,1,0,629,27134.13498,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
40,38,306.5455854,10,309.5897502,245.8239709,218.8151452,0.191980031,1,1,1,593,29820.47533,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
41,30,340.2226687,10,334.1258312,465.8240107,259.4095426,0.148642111,0,1,0,792,39387.81061,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2
42,35,330.2746863,14,291.6078614,413.7896028,190.3497726,0.227204999,0,0,1,749,40958.26549,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
43,62,949.4015336,2,504.6511491,274.7451358,341.5075486,0.555767744,0,1,1,680,93062.81631,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
44,39,1041.887772,5,320.6338189,210.9606123,254.7720404,0.481157122,1,1,1,467,39648.12252,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
45,31,1080.212796,8,270.2209986,217.9531167,262.4660747,0.400686038,0,0,0,547,37132.7418,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2
46,34,347.7615266,15,195.5744237,522.4510493,295.8290132,0.23597313,0,0,0,769,36235.27463,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
47,41,1023.856881,5,203.9916649,235.1175287,258.1187813,0.475740058,0,0,1,544,31558.70096,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
48,28,967.7736823,6,357.4329568,221.354252,265.1520176,0.401738843,1,0,1,564,44614.48513,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,2
49,30,1152.384218,5,238.2926117,237.5502742,207.4336407,0.454783245,1,0,1,565,51566.63924,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
50,34,293.0347465,14,280.5737755,424.9808397,186.7181507,0.166195663,0,1,1,843,38145.74685,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
51,59,917.1887739,3,523.8459563,232.3813133,344.7466461,0.530339614,0,0,1,741,94412.17633,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
52,28,345.0468033,16,319.2234182,257.2576967,273.6733411,0.205649818,0,1,1,580,24221.88418,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
53,36,258.270399,14,333.7538318,394.3899602,216.9200645,0.224062006,0,0,0,750,29967.86469,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
54,19,333.9157331,14,271.7457993,258.0768088,226.0133472,0.176685764,1,0,1,591,31644.12198,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1
55,31,286.6503992,16,309.6294792,255.8735762,267.311384,0.176443622,1,1,1,617,34729.46894,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1
56,54,960.9777563,5,535.6517573,247.5552972,426.7934048,0.476175192,0,1,1,674,98881.83819,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
57,40,1050.95228,2,317.0306377,202.3329454,208.6755049,0.422606519,1,1,1,573,46339.99772,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2
58,40,1001.880676,5,259.2791828,253.3242586,202.6578953,0.418505317,1,0,1,572,35631.17214,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
59,37,279.7373639,13,282.4576302,532.0816857,216.753937,0.175850607,1,1,1,749,41882.11372,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,2
60,41,337.5583159,15,217.0464374,379.0082487,181.7926416,0.163880794,0,0,0,748,35964.29538,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
61,32,417.0906607,15,400.7706434,456.7009846,225.2764512,0.169545915,0,0,1,738,38117.62082,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
62,34,1000.139046,3,336.0750082,180.7782098,189.7741236,0.493717374,0,0,1,495,36073.94039,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
63,27,277.976724,18,194.2617445,205.155348,173.7772804,0.271699893,1,0,1,599,30054.77392,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
64,34,956.2559669,5,229.5764341,243.2532551,147.2703224,0.380841404,1,1,1,470,38610.97974,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2
65,26,300.7526474,15,346.7315145,400.6374372,279.3163517,0.186967441,0,1,0,675,30375.55171,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1
66,32,341.525107,13,408.3080106,108.6839739,154.3510875,0.228132355,1,0,0,656,32609.50316,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
67,26,348.3303166,20,328.7871652,279.4979997,206.7351408,0.193779797,1,1,1,588,34619.15862,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
68,31,290.1072753,14,271.0956097,167.4362204,246.2601649,0.163132276,1,1,1,665,34065.45508,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
69,36,1017.211999,4,391.4154707,172.2566109,211.0444922,0.329165968,1,0,1,521,38301.86142,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
70,56,1021.12819,4,521.1019565,186.688685,424.7777494,0.538675364,1,1,1,661,101583.9497,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
71,65,946.2364313,3,519.0372974,168.3123496,394.2362268,0.507017301,1,1,1,631,101771.9921,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
72,29,1045.21127,5,359.1497616,255.5960201,141.5905328,0.327251041,1,1,1,560,36154.23771,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
73,35,1018.82413,4,283.2773855,261.2541777,155.5560271,0.391238506,1,1,1,550,40260.35676,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2
74,60,1044.298375,5,503.7279805,233.1255262,317.6625101,0.534595912,0,1,0,709,103233.5633,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
75,37,988.0704249,2,276.118215,245.6887556,211.1583075,0.39784577,1,0,1,571,34012.45816,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1
76,32,967.0103609,4,265.8274473,198.4432313,224.8862993,0.328505091,1,0,1,518,39801.3792,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2
77,61,986.8275262,5,427.0475552,275.502441,316.2234962,0.503450023,0,1,0,644,98604.9876,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
78,62,939.7475863,5,561.2150617,174.971028,424.912411,0.527484108,1,1,1,690,96935.34637,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
79,65,999.4287749,6,514.2359163,211.3708251,316.0845161,0.49415082,1,1,1,735,104474.6342,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
80,35,331.4517932,15,282.9213106,224.1285945,168.1169567,0.134597312,1,1,0,726,30824.33729,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
81,41,1018.509646,6,279.2114706,225.2794308,160.5616953,0.457193779,1,1,1,522,43485.49598,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2
82,28,1038.406237,6,357.9608368,283.6664486,171.451736,0.442544605,0,1,1,539,35726.96388,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
83,38,973.9365348,6,314.0660157,189.0535935,326.2955843,0.443402236,0,1,0,532,48801.11128,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
84,32,1032.497246,2,409.3545462,266.6631488,235.4689785,0.29973194,1,0,1,560,35866.67981,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
85,29,1041.789188,7,290.6704959,175.6421554,172.4137742,0.458840525,0,1,0,554,44006.37446,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2
86,32,1060.639059,2,296.616657,160.0782412,242.651019,0.358450504,1,0,1,506,43071.10767,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
87,41,1034.408099,7,308.004061,149.2773297,166.3169162,0.412777531,1,0,1,489,35823.19986,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
88,31,317.7394352,15,274.3144473,210.2688061,160.0440512,0.151669847,1,0,0,621,24982.80126,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
89,36,318.2839052,12,343.2763613,540.9423928,126.7957239,0.190538676,0,1,0,791,40456.558,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2
90,27,285.381283,13,250.9035246,180.6424188,187.6430406,0.212427083,1,1,1,632,30207.76096,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
91,24,318.5890662,15,258.6902595,154.2114231,198.1486731,0.179778315,0,1,1,560,38688.40359,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
92,26,1024.824688,5,288.9127211,203.6249957,185.2550377,0.433733249,1,0,1,535,39404.19288,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
93,30,380.8462479,13,261.1841697,510.2929153,159.5528753,0.094893692,0,0,0,875,40330.621,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2
94,53,989.6386447,7,486.2094314,212.6493717,474.8379273,0.470085327,1,1,1,712,100091.6639,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
95,28,297.6957065,16,295.1039928,447.7904557,162.2914992,0.240185492,0,1,0,865,42686.21167,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2
96,61,1007.241063,8,530.7411213,265.0675385,335.2918046,0.466272625,1,1,1,764,105768.5702,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
97,42,287.5840985,13,416.7538144,560.7033461,171.1198964,0.297171665,0,1,1,704,40904.96151,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
98,30,274.4528741,14,362.5789327,501.9543363,211.4531749,0.237263311,0,1,0,727,41927.05217,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2
99,34,230.6073585,14,325.5133742,512.7376452,85.27482224,0.249623583,1,0,0,700,42922.53017,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
100,53,973.2670084,7,568.1565063,217.8208222,524.0183531,0.401124103,1,1,0,717,96437.67908,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
101,37,273.250905,16,310.5325848,566.1279646,166.8444712,0.138466631,0,0,1,711,38610.99983,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
102,38,275.6741971,16,309.0704797,519.7919414,218.9749267,0.209451438,0,0,0,763,39697.06605,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2
103,22,263.0558501,16,243.0224615,248.286394,240.0359706,0.141600488,1,0,1,623,21648.27331,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
104,33,1071.406987,4,392.3881886,200.5585926,204.0268248,0.409036278,1,0,1,578,46700.68926,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2
105,61,1011.403423,4,485.4417346,239.8932743,370.457705,0.571113258,1,1,1,665,104896.9782,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
106,37,287.1063708,15,318.0963475,451.361427,359.2416667,0.23874391,0,0,0,730,41672.1698,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2
107,29,269.3637616,16,365.6883927,209.477514,236.8817958,0.160076835,1,0,1,649,38227.22787,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
108,50,992.1792704,4,432.2547299,238.8124333,399.1775662,0.502200584,0,1,1,707,100724.1317,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
109,34,372.8625585,13,387.057704,520.9722412,209.9381731,0.221116395,0,0,1,759,37339.32294,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2
110,64,925.6741155,3,542.576382,165.3567483,387.647646,0.523268784,1,1,1,744,106562.8405,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
111,32,266.5060498,16,268.630434,472.7447233,241.4954994,0.185925712,1,1,1,725,39798.12569,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
112,37,178.4090158,16,253.6314805,207.8487577,124.2924151,0.150728484,1,0,1,568,31788.30924,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
113,34,276.7353147,16,268.4141244,251.8107325,241.2958846,0.306925561,1,0,1,636,33598.73411,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
114,55,944.4726525,4,437.8393528,206.5615803,337.1327667,0.52954564,1,1,1,692,92432.1427,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
115,44,1000.039745,2,238.3254077,261.9457562,71.37196623,0.394074605,0,0,1,522,47686.0241,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
116,28,324.3325624,13,274.0144271,246.66383,239.7448264,0.270154414,0,0,1,593,32752.58539,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1
117,66,1003.468776,5,486.471484,222.2137369,405.014192,0.470778765,1,1,1,683,95459.05042,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
118,34,362.5301509,13,346.4877667,538.9863831,160.7437505,0.171776902,0,0,0,748,39106.40186,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2
119,37,414.27014,12,216.1275404,433.8726086,295.6473351,0.161620329,0,0,0,732,51245.72875,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,2
120,36,274.1748042,13,299.3805264,510.3204864,256.1129345,0.140449054,1,0,0,809,43297.35065,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2
121,28,982.8293992,1,381.8657062,296.0955067,88.66768404,0.358810547,1,0,1,396,34051.29489,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
122,62,974.2730549,4,461.1501092,216.2881951,408.2531347,0.550236404,1,1,1,745,109981.5262,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
123,24,229.4118237,12,237.28565,255.6786138,212.1368868,0.185259534,1,0,1,601,30987.31983,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
124,39,1021.383907,5,342.9462833,124.6786862,182.2920352,0.37141973,1,0,1,623,45900.24423,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
125,26,238.1879723,13,347.4509683,414.0311842,56.98405523,0.288792214,0,1,0,841,48044.82617,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2
126,39,946.2449013,4,230.3830696,158.8070595,157.3860836,0.41338685,1,0,1,540,34737.06972,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
127,25,362.2215191,13,294.4381668,168.2946659,116.928062,0.290528701,1,1,1,572,28450.13886,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
128,32,345.5436445,14,320.8032725,137.5224543,106.3698604,0.235141651,1,1,1,529,33836.92955,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
129,37,343.8807273,13,305.8043479,448.1636858,272.5048716,0.178448862,0,0,0,686,36645.11656,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2
130,42,317.4294369,12,274.5562132,546.67732,194.6651355,0.178087342,1,0,0,800,28849.85362,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
131,37,342.3183717,18,299.8919723,435.8024259,188.6294594,0.265094923,0,1,0,674,32203.19458,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1
132,32,308.1597577,14,329.3607967,239.2572439,193.1459004,0.157948883,1,0,1,627,35355.42291,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
133,31,345.4328723,14,309.7877787,292.5634734,164.6052396,0.160744212,1,1,1,647,25089.75673,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1
134,57,1032.685368,6,513.6781914,211.6129074,577.2566511,0.556213447,1,0,1,755,97068.77939,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
135,56,1033.327782,3,498.3815302,121.5810914,382.2185515,0.620778049,1,0,1,828,92689.06598,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
136,33,950.6108787,3,297.7314443,160.9361101,189.4043383,0.398272404,1,0,1,542,37517.29853,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,2
137,28,194.2728021,14,305.8382099,221.5743267,223.8213527,0.136954028,1,1,1,576,40978.27225,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2
138,46,893.1929106,4,440.0611583,205.3187736,487.2763385,0.564416017,0,0,1,709,101967.1122,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
139,29,245.113143,17,239.910112,236.8562266,231.2459612,0.267741613,0,1,1,567,34910.20172,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
140,28,347.7056598,10,256.1060718,488.5324004,140.3758184,0.198930276,0,1,0,662,46764.89336,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2
141,59,994.0389922,2,464.2720696,141.7909191,467.564193,0.454828175,1,1,1,678,98533.83776,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
142,36,942.2292987,4,318.5668709,195.5526058,193.6660528,0.325778544,1,1,1,559,35674.58932,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
143,32,985.9700681,6,259.6207281,228.01709,200.7254207,0.350076224,0,0,1,534,45445.25306,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
144,59,1016.309443,0,458.1834226,246.3375859,473.1743144,0.374447342,1,1,1,636,94290.66325,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
145,34,971.6389899,7,269.1343327,219.0067489,162.922009,0.453666774,0,0,1,497,41635.98199,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
146,33,278.5752489,8,312.369433,228.2315676,212.3118573,0.238708823,1,1,0,623,24847.21973,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
147,36,321.6078136,15,307.9019937,527.7951734,193.3943141,0.197703402,1,1,1,708,40918.98886,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2
148,56,911.6965393,6,557.310194,206.6765413,381.6987187,0.441475073,1,1,1,680,96878.42091,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0
149,34,974.4253299,4,299.5637628,261.5010977,187.5762123,0.394641537,1,0,1,542,37146.28077,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2
150,33,238.6016851,11,194.7397946,539.4477415,131.1683023,0.171393426,1,0,0,735,44730.89892,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
151,36,1012.512696,7,283.1869039,189.1829712,174.4039099,0.386630093,1,1,1,568,36490.87033,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,2
152,44,401.1789955,16,276.7314144,498.2944374,205.7263598,0.215000839,0,0,0,775,37060.65287,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2
153,55,992.2995105,3,603.4690439,195.5487047,391.884399,0.459424638,1,1,1,690,106734.0742,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
154,31,197.0135909,17,304.4637803,518.8584558,182.3053487,0.186582286,0,1,1,773,46922.65765,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2
155,34,285.8737624,14,355.9821742,182.2654832,265.1436539,0.218377425,1,0,1,681,34240.75529,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
