,Age,Gender,IncomeInvested,InvestmentDuration,RiskTolerance,RetirementSaving,HouseBuying,EmergencyFund,CreditScore,TotalIncome,PreferredInvestmentType_Bonds,PreferredInvestmentType_Mutual Funds,PreferredInvestmentType_Real Estate,PreferredInvestmentType_Stocks,Invest_class
100,53,0,0.401124103,1,0.5,1,1,0,717,96437.67908,0,0,0,1,0
101,37,0,0.138466631,0,1.0,0,0,1,711,38610.99983,0,0,1,0,1
102,38,0,0.209451438,0,1.0,0,0,0,763,39697.06605,0,0,1,0,1
103,22,1,0.141600488,1,0.0,1,0,1,623,21648.27331,0,1,0,0,2
104,33,1,0.409036278,0,0.0,1,0,1,578,46700.68926,1,0,0,0,1
105,61,1,0.571113258,1,1.0,1,1,1,665,104896.9782,0,0,0,1,0
106,37,0,0.23874391,0,1.0,0,0,0,730,41672.1698,0,0,1,0,1
107,29,1,0.160076835,0,0.0,1,0,1,649,38227.22787,0,1,0,0,1
108,50,1,0.502200584,1,0.5,0,1,1,707,100724.1317,0,0,1,0,0
109,34,0,0.221116395,0,1.0,0,0,1,759,37339.32294,0,0,0,1,1
110,64,1,0.523268784,1,0.5,1,1,1,744,106562.8405,0,0,1,0,0
111,32,0,0.185925712,0,1.0,1,1,1,725,39798.12569,0,0,0,1,1
112,37,1,0.150728484,1,0.0,1,0,1,568,31788.30924,1,0,0,0,2
113,34,0,0.306925561,0,0.0,1,0,1,636,33598.73411,1,0,0,0,2
114,55,0,0.52954564,0,0.5,1,1,1,692,92432.1427,0,0,1,0,0
115,44,0,0.394074605,1,1.0,0,0,1,522,47686.0241,0,1,0,0,1
116,28,1,0.270154414,1,0.0,0,0,1,593,32752.58539,0,1,0,0,2
117,66,0,0.470778765,1,0.0,1,1,1,683,95459.05042,0,0,1,0,0
118,34,0,0.171776902,0,1.0,0,0,0,748,39106.40186,0,0,0,1,1
119,37,1,0.161620329,1,1.0,0,0,0,732,51245.72875,0,0,0,1,1
120,36,1,0.140449054,0,1.0,1,0,0,809,43297.35065,0,0,1,0,1
121,28,1,0.358810547,1,1.0,1,0,1,396,34051.29489,0,1,0,0,2
122,62,0,0.550236404,1,0.0,1,1,1,745,109981.5262,0,0,1,0,0
123,24,0,0.185259534,1,1.0,1,0,1,601,30987.31983,0,1,0,0,2
124,39,0,0.37141973,0,0.0,1,0,1,623,45900.24423,0,1,0,0,1
125,26,0,0.288792214,0,0.5,0,1,0,841,48044.82617,0,0,0,1,1
126,39,1,0.41338685,1,0.0,1,0,1,540,34737.06972,0,1,0,0,2
127,25,1,0.290528701,1,0.0,1,1,1,572,28450.13886,1,0,0,0,2
128,32,1,0.235141651,0,0.0,1,1,1,529,33836.92955,0,1,0,0,2
129,37,0,0.178448862,0,1.0,0,0,0,686,36645.11656,0,0,0,1,1
130,42,1,0.178087342,0,1.0,1,0,0,800,28849.85362,0,0,1,0,2
131,37,1,0.265094923,0,0.0,0,1,0,674,32203.19458,0,0,1,0,2
132,32,1,0.157948883,1,0.0,1,0,1,627,35355.42291,1,0,0,0,2
133,31,1,0.160744212,1,0.0,1,1,1,647,25089.75673,1,0,0,0,2
134,57,0,0.556213447,1,0.5,1,0,1,755,97068.77939,0,0,1,0,0
135,56,0,0.620778049,1,0.5,1,0,1,828,92689.06598,0,0,0,1,0
136,33,0,0.398272404,1,0.0,1,0,1,542,37517.29853,0,1,0,0,1
137,28,1,0.136954028,1,0.0,1,1,1,576,40978.27225,0,1,0,0,1
138,46,1,0.564416017,1,0.5,0,0,1,709,101967.1122,0,0,1,0,0
139,29,1,0.267741613,1,0.5,0,1,1,567,34910.20172,1,0,0,0,2
140,28,1,0.198930276,1,1.0,0,1,0,662,46764.89336,0,0,1,0,1
141,59,0,0.454828175,0,0.5,1,1,1,678,98533.83776,0,0,0,1,0
142,36,0,0.325778544,0,0.0,1,1,1,559,35674.58932,0,1,0,0,2
143,32,0,0.350076224,1,0.0,0,0,1,534,45445.25306,1,0,0,0,1
144,59,0,0.374447342,1,1.0,1,1,1,636,94290.66325,0,0,0,1,0
145,34,1,0.453666774,1,0.0,0,0,1,497,41635.98199,1,0,0,0,1
146,33,0,0.238708823,0,0.0,1,1,0,623,24847.21973,1,0,0,0,2
147,36,1,0.197703402,0,1.0,1,1,1,708,40918.98886,0,0,0,1,1
148,56,0,0.441475073,1,1.0,1,1,1,680,96878.42091,0,0,1,0,0
149,34,1,0.394641537,1,0.0,1,0,1,542,37146.28077,1,0,0,0,1
150,33,0,0.171393426,1,1.0,1,0,0,735,44730.89892,0,0,1,0,1
151,36,1,0.386630093,1,0.0,1,1,1,568,36490.87033,1,0,0,0,1
152,44,1,0.215000839,0,1.0,0,0,0,775,37060.65287,0,0,0,1,1
153,55,1,0.459424638,1,0.5,1,1,1,690,106734.0742,0,0,0,1,0
154,31,0,0.186582286,0,1.0,0,1,1,773,46922.65765,0,0,0,1,1
155,34,1,0.218377425,1,1.0,1,0,1,681,34240.75529,0,1,0,0,2
156,41,1,0.480917849,1,0.0,1,1,1,481,35057.43607,0,1,0,0,2
157,26,0,0.340716054,0,0.0,0,0,1,489,35180.64949,1,0,0,0,2
158,25,1,0.276505884,0,1.0,1,0,0,709,41829.9957,0,0,1,0,1
159,51,1,0.596044936,0,0.5,1,1,0,713,97791.96099,0,0,1,0,0
160,30,0,0.492203206,1,0.0,0,0,1,563,42079.52021,0,1,0,0,1
161,37,0,0.48560019,1,1.0,1,1,1,575,42610.25677,1,0,0,0,1
162,28,1,0.1943532,1,0.0,1,0,1,597,28193.02828,1,0,0,0,2
163,31,1,0.106951451,1,1.0,1,1,1,586,24697.50949,0,1,0,0,2
164,37,0,0.204304143,1,1.0,0,0,0,780,40517.19791,0,0,0,1,1
165,33,0,0.199085975,0,0.0,0,1,0,811,32953.58956,0,0,0,1,2
166,24,1,0.183405915,1,1.0,0,1,0,520,35514.84999,0,1,0,0,2
167,33,1,0.195609462,1,1.0,1,1,1,582,33931.57801,0,1,0,0,2
168,32,0,0.238807202,1,0.5,1,1,1,540,21254.33478,0,1,0,0,2
169,33,0,0.166897351,0,1.0,1,0,0,729,44163.68383,0,0,1,0,1
170,23,1,0.24070224,1,0.0,0,1,1,734,27842.39236,0,1,0,0,2
171,31,0,0.336336665,1,0.0,1,1,1,648,29240.41383,0,1,0,0,2
172,33,0,0.260347361,0,1.0,0,1,0,746,35842.23623,0,0,0,1,2
173,38,0,0.167935192,1,0.0,1,1,1,570,29472.78807,1,0,0,0,2
174,33,1,0.263138055,1,0.0,0,1,1,551,19597.46077,0,1,0,0,2
175,34,1,0.216371201,0,0.5,1,0,0,717,42956.97674,0,0,1,0,1
176,26,0,0.236959482,1,0.0,1,0,0,563,29465.11025,1,0,0,0,2
177,38,0,0.134959049,1,0.0,1,0,1,626,33011.78303,0,1,0,0,2
178,21,1,0.093182111,1,0.0,1,0,1,524,23263.57213,0,1,0,0,2
179,39,0,0.124242752,1,0.5,1,1,1,688,38002.11981,0,1,0,0,1
180,61,0,0.487887399,1,0.5,1,1,1,721,99148.83316,0,0,1,0,0
181,25,1,0.206924209,0,0.0,1,1,1,609,37084.39713,1,0,0,0,1
182,59,0,0.565013147,0,0.5,1,1,1,621,108989.4672,0,0,0,1,0
183,39,0,0.505477814,1,0.0,1,0,1,547,42647.24053,0,1,0,0,1
184,25,1,0.303511251,1,1.0,0,1,1,524,24194.80311,1,0,0,0,2
185,64,0,0.499937767,1,0.5,0,1,1,617,106643.0026,0,0,1,0,0
186,29,1,0.228167914,1,0.0,1,0,1,583,31197.03747,0,1,0,0,2
187,27,0,0.238265862,1,0.0,1,1,1,625,34793.99599,0,1,0,0,2
188,18,1,0.196984698,1,0.0,1,1,1,639,26960.84693,1,0,0,0,2
189,38,0,0.245010116,0,1.0,1,0,0,769,40063.3027,0,0,1,0,1
190,38,0,0.318195115,0,0.5,1,1,1,631,46584.07974,0,1,0,0,1
191,15,0,0.21230563,1,0.0,1,1,1,525,27431.93735,0,1,0,0,2
192,34,0,0.184301389,0,1.0,1,0,0,727,36642.74183,0,0,0,1,1
193,30,0,0.251356989,1,0.0,1,0,1,545,29123.17931,1,0,0,0,2
194,41,0,0.23872674,0,1.0,0,0,1,653,37122.28716,0,0,0,1,1
195,33,0,0.121099824,0,0.0,0,0,0,835,37574.74655,0,0,0,1,1
196,32,0,0.414724594,1,0.0,1,0,0,550,44194.05328,1,0,0,0,1
197,24,1,0.221776013,1,0.0,1,1,1,601,27154.6503,0,1,0,0,2
198,25,0,0.131976443,1,1.0,1,1,1,520,23636.14868,0,1,0,0,2
199,33,1,0.235018918,0,1.0,0,1,0,836,40844.14753,0,0,0,1,1
200,33,0,0.420112521,1,0.0,0,0,0,607,42949.64344,0,1,0,0,1
201,29,1,0.167077932,1,0.0,1,1,1,591,34271.95642,1,0,0,0,2
202,44,1,0.187899021,0,1.0,0,1,0,689,40336.30046,0,0,1,0,1
203,34,0,0.16499834,0,1.0,0,1,0,770,42407.63125,0,0,1,0,1
204,49,0,0.511482732,1,0.5,1,1,1,722,99093.20281,0,0,0,1,0
205,30,0,0.125801196,0,0.5,1,1,1,612,39130.62891,0,1,0,0,1
206,48,0,0.284414248,1,0.0,1,0,1,500,37071.14256,1,0,0,0,1
207,65,1,0.511988047,1,0.5,1,1,1,767,92601.9099,0,0,0,1,0
208,62,0,0.52352454,1,0.5,1,0,0,640,97673.50496,0,0,0,1,0
209,60,0,0.474874604,1,0.5,0,1,0,693,94104.7016,0,0,0,1,0
210,27,0,0.261478161,1,1.0,0,0,0,766,33298.95516,0,0,0,1,2
211,60,1,0.458790906,1,0.5,1,0,1,687,98361.88993,0,0,1,0,0
212,29,0,0.177382855,1,1.0,1,1,0,617,31890.33272,0,1,0,0,2
213,42,1,0.39372662,1,0.5,1,1,1,551,37683.71848,0,1,0,0,1
214,29,0,0.173422322,0,0.5,0,0,0,721,35762.52664,0,0,0,1,2
215,60,0,0.489551827,1,0.5,1,0,1,625,99405.54087,0,0,0,1,0
216,35,0,0.418338459,1,0.0,0,1,1,458,35284.94554,1,0,0,0,2
217,31,1,0.2315889,0,1.0,0,0,0,815,45072.65943,0,0,0,1,1
218,39,1,0.250160154,0,1.0,0,1,0,838,33595.23862,0,0,1,0,2
219,30,1,0.146749602,0,1.0,0,0,0,766,30805.56431,0,0,1,0,2
220,37,1,0.371163547,1,0.5,1,0,1,560,45275.46675,0,1,0,0,1
221,60,0,0.521697066,1,0.5,1,0,1,701,96174.35198,0,0,0,1,0
222,71,0,0.591303565,1,0.5,1,1,1,726,104822.1236,0,0,0,1,0
223,49,0,0.488403043,1,0.5,1,1,1,732,100917.4268,0,0,1,0,0
224,29,1,0.299535152,0,1.0,0,1,1,668,24541.20045,0,1,0,0,2
225,20,1,0.162854054,1,0.0,0,0,1,620,34189.91308,0,1,0,0,2
226,26,0,0.176275838,0,1.0,0,1,0,670,34468.13578,0,0,0,1,2
227,64,1,0.525112753,1,0.5,1,1,1,711,92671.63881,0,0,0,1,0
228,25,1,0.189565269,0,0.0,1,1,1,564,32396.85278,0,1,0,0,2
229,27,0,0.385599197,1,0.0,1,1,1,410,35896.9443,0,1,0,0,2
230,39,1,0.230163415,0,1.0,0,1,0,748,36247.51976,0,0,0,1,1
231,41,1,0.25228852,1,0.0,1,0,1,530,26501.97947,0,1,0,0,2
232,33,1,0.358439515,1,0.0,1,1,1,465,39983.35256,1,0,0,0,1
233,64,0,0.482272559,1,0.5,1,1,1,810,97372.94422,0,0,1,0,0
234,27,1,0.195558244,1,0.0,1,1,1,652,31021.85049,1,0,0,0,2
235,33,1,0.194051162,0,1.0,0,0,0,697,41279.58854,0,0,0,1,1
236,31,1,0.145514792,1,0.0,1,1,1,485,28249.73419,1,0,0,0,2
237,38,0,0.399689727,1,0.0,0,0,1,444,39876.6862,0,1,0,0,1
238,41,1,0.451720996,1,0.0,0,1,1,618,32423.1543,1,0,0,0,2
239,35,1,0.327839788,1,0.0,1,0,1,516,25107.8371,0,1,0,0,2
240,37,0,0.395379303,0,0.5,1,0,1,574,40980.84462,1,0,0,0,1
241,59,1,0.491822851,1,0.5,0,1,1,707,98279.05588,0,0,1,0,0
242,60,1,0.494822981,1,0.5,1,1,1,709,101462.137,0,0,0,1,0
243,38,0,0.243102332,0,1.0,0,1,1,724,39447.85065,0,0,1,0,1
244,31,1,0.255434954,0,1.0,0,1,0,763,42014.25455,0,0,1,0,1
245,60,1,0.477342065,1,0.5,1,1,1,706,95022.0903,0,0,1,0,0
246,39,0,0.129512802,0,1.0,0,0,0,735,48573.16667,0,0,1,0,1
247,65,0,0.497975635,0,0.5,1,0,0,654,96072.79057,0,0,1,0,0
248,25,0,0.169119276,1,0.0,0,1,1,558,34075.92247,1,0,0,0,2
249,65,1,0.498081799,1,0.5,1,1,1,727,106124.661,0,0,0,1,0
250,35,1,0.202707537,1,0.0,1,0,0,786,34018.58233,0,0,1,0,2
251,24,1,0.137980621,1,0.0,1,1,1,650,20928.13102,0,1,0,0,2
252,31,0,0.420814221,1,0.5,1,0,1,612,32225.85234,1,0,0,0,2
253,32,1,0.209273851,1,0.5,1,1,0,793,38831.74138,0,0,0,1,1
254,41,0,0.40868189,1,1.0,0,1,1,610,32039.63927,0,1,0,0,2
255,32,1,0.098981904,0,1.0,0,0,1,810,43454.10233,0,0,1,0,1
256,36,0,0.119374238,0,1.0,1,0,1,779,32932.515,0,0,0,1,2
257,69,0,0.488677567,1,0.5,1,1,1,655,89974.81924,0,0,0,1,0
258,68,0,0.453109193,0,0.5,0,0,0,706,94706.39773,0,0,0,1,0
259,58,0,0.559509978,1,1.0,1,1,0,716,97105.31269,0,0,1,0,0
260,36,1,0.243151347,0,0.5,0,0,0,730,34967.22687,0,0,1,0,2
261,34,1,0.168218022,1,0.0,1,0,1,643,26398.71051,0,1,0,0,2
262,32,0,0.132230382,1,0.0,0,0,1,598,34296.08539,1,0,0,0,2
263,23,1,0.206084404,0,1.0,1,1,1,579,32715.09846,1,0,0,0,2
264,35,1,0.194148656,0,1.0,0,0,0,784,39613.94349,0,0,0,1,1
265,27,1,0.414107076,1,0.5,0,1,1,555,43489.80737,0,1,0,0,1
266,38,0,0.194509665,0,1.0,0,1,1,768,35812.13935,0,0,1,0,2
267,59,0,0.554661954,1,0.5,1,0,1,810,100762.2904,0,0,0,1,0
268,24,1,0.24949885,1,0.0,1,1,1,624,36305.3356,1,0,0,0,1
269,58,0,0.58132309,1,0.5,0,1,1,739,103329.0214,0,0,1,0,0
270,57,1,0.450889717,1,0.5,1,1,1,698,104393.8769,0,0,1,0,0
271,35,1,0.410567512,1,0.0,1,1,1,484,31154.32158,0,1,0,0,2
272,32,1,0.244283769,0,0.0,1,1,1,622,27517.60307,0,1,0,0,2
273,27,1,0.248288352,1,0.0,1,0,0,530,25271.91531,0,1,0,0,2
274,35,1,0.228676431,1,0.0,1,0,1,647,29273.8256,1,0,0,0,2
275,29,1,0.410323592,1,0.0,0,0,1,585,43886.27128,1,0,0,0,1
276,36,0,0.376901761,1,0.0,1,1,1,620,43263.42127,0,1,0,0,1
277,64,1,0.451366617,1,0.5,1,1,0,533,105411.7237,0,0,1,0,0
278,33,0,0.220810508,1,0.5,0,1,0,723,37206.80531,0,0,1,0,1
279,37,1,0.12826088,0,0.5,1,1,1,633,29796.67807,0,1,0,0,2
280,39,1,0.416414114,1,0.0,0,1,1,515,41912.38794,0,1,0,0,1
281,26,1,0.173964804,1,0.0,1,1,1,681,29315.73863,0,1,0,0,2
282,39,1,0.248976213,1,0.0,1,1,1,602,31373.55751,1,0,0,0,2
283,52,0,0.470791535,1,0.5,1,1,1,663,104098.2598,0,0,0,1,0
284,36,1,0.170789518,0,1.0,0,0,0,714,40857.01991,0,0,1,0,1
285,59,1,0.389755491,1,0.5,1,1,0,722,100715.0115,0,0,1,0,0
286,27,1,0.432347618,1,0.0,1,1,1,524,38936.85419,0,1,0,0,1
287,33,1,0.516759413,1,0.0,0,0,1,510,40965.5837,0,1,0,0,1
288,32,0,0.381592532,1,0.0,0,1,1,513,50137.83183,1,0,0,0,1
289,32,0,0.309108956,1,0.0,1,0,1,630,41856.01147,0,1,0,0,1
290,67,0,0.561124318,1,0.5,1,1,1,731,104541.2901,0,0,0,1,0
291,60,0,0.546190241,1,0.5,0,1,1,688,98805.16874,0,0,0,1,0
292,42,1,0.477358616,1,0.0,0,0,1,522,39286.52505,0,1,0,0,1
293,33,0,0.406895268,1,0.5,0,0,1,493,44344.38898,1,0,0,0,1
294,23,1,0.205012585,0,0.0,1,0,1,530,29870.40453,0,1,0,0,2
295,26,1,0.208683299,0,0.0,1,1,1,578,25939.91707,1,0,0,0,2
296,60,0,0.423081293,1,0.5,1,1,1,684,99667.71231,0,0,0,1,0
297,35,0,0.488788759,1,1.0,1,0,1,553,41489.42987,1,0,0,0,1
298,33,1,0.267328668,1,1.0,0,0,0,741,38783.37474,0,0,1,0,1
299,28,1,0.309753772,1,0.0,1,1,1,635,34900.86088,0,1,0,0,2
300,25,1,0.228891107,1,0.0,1,0,1,682,28199.7108,1,0,0,0,2
301,31,0,0.10596426,0,0.0,0,0,1,576,42283.49461,0,1,0,0,1
302,26,1,0.402504111,0,0.0,0,0,1,599,33480.16229,0,1,0,0,2
303,43,1,0.422531883,0,1.0,1,0,1,571,46090.3667,0,1,0,0,1
304,40,1,0.153954048,0,1.0,0,1,0,671,34237.04336,0,0,1,0,2
305,30,1,0.257025909,1,0.0,1,1,1,559,33119.47534,0,1,0,0,2
306,33,1,0.254302828,1,1.0,0,1,1,570,35144.0529,0,1,0,0,2
307,41,1,0.310674575,1,0.5,0,1,1,604,45058.88059,1,0,0,0,1
308,20,1,0.061324385,1,0.5,1,0,1,572,32732.97013,1,0,0,0,2
309,58,1,0.507277809,0,1.0,0,1,1,711,101577.7593,0,0,1,0,0
310,60,1,0.593057125,1,0.5,1,1,1,708,96734.06065,0,0,1,0,0
311,61,0,0.488724713,1,0.5,0,1,0,690,99822.64863,0,0,0,1,0
312,33,1,0.301210217,1,0.0,0,1,1,451,33391.21985,0,1,0,0,2
313,35,0,0.175380071,1,0.0,1,0,1,554,29140.69036,0,1,0,0,2
314,55,0,0.510902125,1,1.0,1,1,1,765,94906.27632,0,0,0,1,0
315,34,0,0.181288014,1,0.5,0,0,0,787,44420.2472,0,0,0,1,1
316,31,0,0.345237853,0,0.0,0,1,1,475,37347.54668,1,0,0,0,1
317,63,0,0.642289133,1,0.5,1,1,0,698,99649.71744,0,0,0,1,0
318,30,1,0.115237163,1,0.0,1,1,1,613,31251.23053,0,1,0,0,2
319,24,1,0.201844943,1,0.0,1,1,1,684,32692.87205,1,0,0,0,2
320,37,0,0.205549367,0,0.5,0,0,0,733,35854.21015,0,0,1,0,2
321,53,0,0.523598893,1,1.0,1,1,1,695,103450.2558,0,0,1,0,0
322,61,1,0.449160625,1,1.0,1,1,1,736,102878.0082,0,0,1,0,0
323,36,0,0.15421033,1,0.0,1,1,1,622,29429.29167,0,1,0,0,2
324,52,1,0.505121159,0,0.5,1,0,1,746,112656.7689,0,0,1,0,0
325,40,1,0.489288534,0,0.0,1,0,1,459,39315.6071,0,1,0,0,1
