,Age,Gender,AvgTransactionAmount,TransactionFrequency,SpendingOnGroceries,SpendingOnEntertainment,SpendingOnTravel,TotalIncome,Occupation_Clerk,Occupation_Doctor,Occupation_Engineer,Occupation_Lawyer,Occupation_Nurse,Occupation_Teacher,CreditScore,Spend_class
21,36,1,284.4799227,16,264.691039,139.8151558,168.3118662,34071.85098,0,0,0,0,0,1,588,2
22,34,0,951.1804866,4,371.1608403,211.3949599,207.2950795,34932.10687,0,0,0,0,0,1,550,2
23,23,0,298.0172938,13,280.0595613,204.4041589,227.2681377,31741.31476,1,0,0,0,0,0,637,2
24,42,0,1018.906287,3,268.9690011,121.9088463,230.4347692,27660.25198,0,0,0,0,0,1,570,2
25,34,0,338.3223868,13,220.1939462,212.3855976,194.730737,32038.93596,0,0,0,0,0,1,632,2
26,36,0,1110.268885,4,379.1283596,223.0585717,193.2056648,46677.42231,0,0,0,0,1,0,577,0
27,33,1,281.5305126,12,375.9782612,222.9147988,239.9674972,34018.53173,1,0,0,0,0,0,510,2
28,27,0,327.6135076,12,326.6638969,98.59226674,173.3040265,28492.70507,0,0,0,0,1,0,543,2
29,64,1,1074.376656,6,491.5848903,200.6533898,377.7085434,97605.43727,0,0,1,0,0,0,855,1
30,28,1,294.7911452,17,288.8749994,99.15540794,206.136105,22723.30622,0,0,0,0,0,1,589,2
31,38,0,1063.056277,6,174.080055,145.9291961,258.5853682,34317.3652,0,0,0,0,0,1,500,2
32,35,0,993.1944047,5,344.8448017,256.2660135,148.5306382,37008.27061,0,0,0,0,1,0,503,0
33,56,1,960.4360678,4,526.0640572,149.089077,364.1382189,109482.262,0,0,0,1,0,0,675,1
34,31,1,312.9552577,12,286.6639882,173.4452905,120.9951788,31229.99819,0,0,0,0,0,1,631,2
35,37,1,967.5074969,4,371.7280942,166.6679364,285.9114983,35920.51426,1,0,0,0,0,0,526,2
36,54,1,1086.399476,5,514.0282616,129.2574705,455.8805521,109450.7989,0,0,0,1,0,0,698,1
37,40,1,273.4041629,13,235.8454545,509.5985655,239.5139102,43219.3181,1,0,0,0,0,0,764,0
38,32,0,1035.824759,6,290.6280444,126.8289831,262.3166267,37055.29612,1,0,0,0,0,0,509,0
39,38,1,381.8670026,19,324.0768647,228.8340088,309.0798256,27134.13498,0,0,0,0,0,1,629,2
40,38,1,306.5455854,10,309.5897502,245.8239709,218.8151452,29820.47533,1,0,0,0,0,0,593,2
41,30,1,340.2226687,10,334.1258312,465.8240107,259.4095426,39387.81061,0,0,0,0,0,1,792,0
42,35,0,330.2746863,14,291.6078614,413.7896028,190.3497726,40958.26549,1,0,0,0,0,0,749,0
43,62,1,949.4015336,2,504.6511491,274.7451358,341.5075486,93062.81631,0,0,1,0,0,0,680,1
44,39,0,1041.887772,5,320.6338189,210.9606123,254.7720404,39648.12252,1,0,0,0,0,0,467,0
45,31,1,1080.212796,8,270.2209986,217.9531167,262.4660747,37132.7418,0,0,0,0,0,1,547,0
46,34,0,347.7615266,15,195.5744237,522.4510493,295.8290132,36235.27463,1,0,0,0,0,0,769,0
47,41,1,1023.856881,5,203.9916649,235.1175287,258.1187813,31558.70096,0,0,0,0,1,0,544,2
48,28,0,967.7736823,6,357.4329568,221.354252,265.1520176,44614.48513,0,0,0,0,1,0,564,0
49,30,0,1152.384218,5,238.2926117,237.5502742,207.4336407,51566.63924,0,0,0,0,0,1,565,0
50,34,1,293.0347465,14,280.5737755,424.9808397,186.7181507,38145.74685,1,0,0,0,0,0,843,0
51,59,1,917.1887739,3,523.8459563,232.3813133,344.7466461,94412.17633,0,0,1,0,0,0,741,1
52,28,1,345.0468033,16,319.2234182,257.2576967,273.6733411,24221.88418,0,0,0,0,0,1,580,2
53,36,0,258.270399,14,333.7538318,394.3899602,216.9200645,29967.86469,1,0,0,0,0,0,750,2
54,19,0,333.9157331,14,271.7457993,258.0768088,226.0133472,31644.12198,0,0,0,0,1,0,591,2
55,31,0,286.6503992,16,309.6294792,255.8735762,267.311384,34729.46894,0,0,0,0,0,1,617,2
56,54,0,960.9777563,5,535.6517573,247.5552972,426.7934048,98881.83819,0,1,0,0,0,0,674,1
57,40,0,1050.95228,2,317.0306377,202.3329454,208.6755049,46339.99772,0,0,0,0,1,0,573,0
58,40,0,1001.880676,5,259.2791828,253.3242586,202.6578953,35631.17214,1,0,0,0,0,0,572,2
59,37,1,279.7373639,13,282.4576302,532.0816857,216.753937,41882.11372,0,0,0,0,0,1,749,0
60,41,0,337.5583159,15,217.0464374,379.0082487,181.7926416,35964.29538,0,0,0,0,0,1,748,2
61,32,0,417.0906607,15,400.7706434,456.7009846,225.2764512,38117.62082,1,0,0,0,0,0,738,0
62,34,0,1000.139046,3,336.0750082,180.7782098,189.7741236,36073.94039,0,0,0,0,1,0,495,2
63,27,1,277.976724,18,194.2617445,205.155348,173.7772804,30054.77392,1,0,0,0,0,0,599,2
64,34,1,956.2559669,5,229.5764341,243.2532551,147.2703224,38610.97974,0,0,0,0,1,0,470,0
65,26,0,300.7526474,15,346.7315145,400.6374372,279.3163517,30375.55171,0,0,0,0,1,0,675,2
66,32,0,341.525107,13,408.3080106,108.6839739,154.3510875,32609.50316,0,0,0,0,1,0,656,2
67,26,1,348.3303166,20,328.7871652,279.4979997,206.7351408,34619.15862,0,0,0,0,1,0,588,2
68,31,1,290.1072753,14,271.0956097,167.4362204,246.2601649,34065.45508,0,0,0,0,1,0,665,2
69,36,1,1017.211999,4,391.4154707,172.2566109,211.0444922,38301.86142,0,0,0,0,1,0,521,0
70,56,0,1021.12819,4,521.1019565,186.688685,424.7777494,101583.9497,0,1,0,0,0,0,661,1
71,65,1,946.2364313,3,519.0372974,168.3123496,394.2362268,101771.9921,0,0,0,1,0,0,631,1
72,29,1,1045.21127,5,359.1497616,255.5960201,141.5905328,36154.23771,0,0,0,0,0,1,560,0
73,35,0,1018.82413,4,283.2773855,261.2541777,155.5560271,40260.35676,0,0,0,0,1,0,550,0
74,60,0,1044.298375,5,503.7279805,233.1255262,317.6625101,103233.5633,0,0,1,0,0,0,709,1
75,37,0,988.0704249,2,276.118215,245.6887556,211.1583075,34012.45816,1,0,0,0,0,0,571,2
76,32,1,967.0103609,4,265.8274473,198.4432313,224.8862993,39801.3792,0,0,0,0,0,1,518,0
77,61,1,986.8275262,5,427.0475552,275.502441,316.2234962,98604.9876,0,1,0,0,0,0,644,1
78,62,0,939.7475863,5,561.2150617,174.971028,424.912411,96935.34637,0,0,0,1,0,0,690,1
79,65,0,999.4287749,6,514.2359163,211.3708251,316.0845161,104474.6342,0,0,0,1,0,0,735,1
80,35,1,331.4517932,15,282.9213106,224.1285945,168.1169567,30824.33729,0,0,0,0,1,0,726,2
81,41,0,1018.509646,6,279.2114706,225.2794308,160.5616953,43485.49598,0,0,0,0,1,0,522,0
82,28,1,1038.406237,6,357.9608368,283.6664486,171.451736,35726.96388,0,0,0,0,1,0,539,2
83,38,1,973.9365348,6,314.0660157,189.0535935,326.2955843,48801.11128,1,0,0,0,0,0,532,0
84,32,1,1032.497246,2,409.3545462,266.6631488,235.4689785,35866.67981,1,0,0,0,0,0,560,2
85,29,0,1041.789188,7,290.6704959,175.6421554,172.4137742,44006.37446,0,0,0,0,0,1,554,0
86,32,0,1060.639059,2,296.616657,160.0782412,242.651019,43071.10767,1,0,0,0,0,0,506,0
87,41,0,1034.408099,7,308.004061,149.2773297,166.3169162,35823.19986,1,0,0,0,0,0,489,2
88,31,1,317.7394352,15,274.3144473,210.2688061,160.0440512,24982.80126,1,0,0,0,0,0,621,2
89,36,0,318.2839052,12,343.2763613,540.9423928,126.7957239,40456.558,0,0,0,0,0,1,791,0
90,27,0,285.381283,13,250.9035246,180.6424188,187.6430406,30207.76096,0,0,0,0,0,1,632,2
91,24,0,318.5890662,15,258.6902595,154.2114231,198.1486731,38688.40359,0,0,0,0,1,0,560,0
92,26,1,1024.824688,5,288.9127211,203.6249957,185.2550377,39404.19288,1,0,0,0,0,0,535,0
93,30,0,380.8462479,13,261.1841697,510.2929153,159.5528753,40330.621,0,0,0,0,0,1,875,0
94,53,0,989.6386447,7,486.2094314,212.6493717,474.8379273,100091.6639,0,1,0,0,0,0,712,1
95,28,0,297.6957065,16,295.1039928,447.7904557,162.2914992,42686.21167,0,0,0,0,1,0,865,0
96,61,0,1007.241063,8,530.7411213,265.0675385,335.2918046,105768.5702,0,0,1,0,0,0,764,1
97,42,0,287.5840985,13,416.7538144,560.7033461,171.1198964,40904.96151,1,0,0,0,0,0,704,0
98,30,1,274.4528741,14,362.5789327,501.9543363,211.4531749,41927.05217,1,0,0,0,0,0,727,0
99,34,0,230.6073585,14,325.5133742,512.7376452,85.27482224,42922.53017,1,0,0,0,0,0,700,0
100,53,0,973.2670084,7,568.1565063,217.8208222,524.0183531,96437.67908,0,0,1,0,0,0,717,1
101,37,0,273.250905,16,310.5325848,566.1279646,166.8444712,38610.99983,1,0,0,0,0,0,711,0
102,38,0,275.6741971,16,309.0704797,519.7919414,218.9749267,39697.06605,1,0,0,0,0,0,763,0
103,22,1,263.0558501,16,243.0224615,248.286394,240.0359706,21648.27331,1,0,0,0,0,0,623,2
104,33,1,1071.406987,4,392.3881886,200.5585926,204.0268248,46700.68926,0,0,0,0,0,1,578,0
105,61,1,1011.403423,4,485.4417346,239.8932743,370.457705,104896.9782,0,1,0,0,0,0,665,1
106,37,0,287.1063708,15,318.0963475,451.361427,359.2416667,41672.1698,0,0,0,0,1,0,730,0
107,29,1,269.3637616,16,365.6883927,209.477514,236.8817958,38227.22787,1,0,0,0,0,0,649,0
108,50,1,992.1792704,4,432.2547299,238.8124333,399.1775662,100724.1317,0,0,1,0,0,0,707,1
109,34,0,372.8625585,13,387.057704,520.9722412,209.9381731,37339.32294,0,0,0,0,1,0,759,0
110,64,1,925.6741155,3,542.576382,165.3567483,387.647646,106562.8405,0,0,1,0,0,0,744,1
111,32,0,266.5060498,16,268.630434,472.7447233,241.4954994,39798.12569,1,0,0,0,0,0,725,0
112,37,1,178.4090158,16,253.6314805,207.8487577,124.2924151,31788.30924,0,0,0,0,0,1,568,2
113,34,0,276.7353147,16,268.4141244,251.8107325,241.2958846,33598.73411,1,0,0,0,0,0,636,2
114,55,0,944.4726525,4,437.8393528,206.5615803,337.1327667,92432.1427,0,1,0,0,0,0,692,1
115,44,0,1000.039745,2,238.3254077,261.9457562,71.37196623,47686.0241,1,0,0,0,0,0,522,0
116,28,1,324.3325624,13,274.0144271,246.66383,239.7448264,32752.58539,0,0,0,0,1,0,593,2
117,66,0,1003.468776,5,486.471484,222.2137369,405.014192,95459.05042,0,0,0,1,0,0,683,1
118,34,0,362.5301509,13,346.4877667,538.9863831,160.7437505,39106.40186,0,0,0,0,1,0,748,0
119,37,1,414.27014,12,216.1275404,433.8726086,295.6473351,51245.72875,0,0,0,0,0,1,732,0
120,36,1,274.1748042,13,299.3805264,510.3204864,256.1129345,43297.35065,0,0,0,0,0,1,809,0
121,28,1,982.8293992,1,381.8657062,296.0955067,88.66768404,34051.29489,0,0,0,0,1,0,396,2
122,62,0,974.2730549,4,461.1501092,216.2881951,408.2531347,109981.5262,0,0,0,1,0,0,745,1
123,24,0,229.4118237,12,237.28565,255.6786138,212.1368868,30987.31983,0,0,0,0,0,1,601,2
124,39,0,1021.383907,5,342.9462833,124.6786862,182.2920352,45900.24423,1,0,0,0,0,0,623,0
125,26,0,238.1879723,13,347.4509683,414.0311842,56.98405523,48044.82617,1,0,0,0,0,0,841,0
126,39,1,946.2449013,4,230.3830696,158.8070595,157.3860836,34737.06972,1,0,0,0,0,0,540,2
127,25,1,362.2215191,13,294.4381668,168.2946659,116.928062,28450.13886,1,0,0,0,0,0,572,2
128,32,1,345.5436445,14,320.8032725,137.5224543,106.3698604,33836.92955,0,0,0,0,0,1,529,2
129,37,0,343.8807273,13,305.8043479,448.1636858,272.5048716,36645.11656,0,0,0,0,0,1,686,0
130,42,1,317.4294369,12,274.5562132,546.67732,194.6651355,28849.85362,1,0,0,0,0,0,800,2
131,37,1,342.3183717,18,299.8919723,435.8024259,188.6294594,32203.19458,0,0,0,0,0,1,674,2
132,32,1,308.1597577,14,329.3607967,239.2572439,193.1459004,35355.42291,1,0,0,0,0,0,627,2
133,31,1,345.4328723,14,309.7877787,292.5634734,164.6052396,25089.75673,0,0,0,0,1,0,647,2
134,57,0,1032.685368,6,513.6781914,211.6129074,577.2566511,97068.77939,0,0,0,1,0,0,755,1
135,56,0,1033.327782,3,498.3815302,121.5810914,382.2185515,92689.06598,0,0,1,0,0,0,828,1
136,33,0,950.6108787,3,297.7314443,160.9361101,189.4043383,37517.29853,0,0,0,0,0,1,542,0
137,28,1,194.2728021,14,305.8382099,221.5743267,223.8213527,40978.27225,0,0,0,0,1,0,576,0
138,46,1,893.1929106,4,440.0611583,205.3187736,487.2763385,101967.1122,0,0,0,1,0,0,709,1
139,29,1,245.113143,17,239.910112,236.8562266,231.2459612,34910.20172,0,0,0,0,0,1,567,2
140,28,1,347.7056598,10,256.1060718,488.5324004,140.3758184,46764.89336,0,0,0,0,0,1,662,0
141,59,0,994.0389922,2,464.2720696,141.7909191,467.564193,98533.83776,0,1,0,0,0,0,678,1
142,36,0,942.2292987,4,318.5668709,195.5526058,193.6660528,35674.58932,0,0,0,0,1,0,559,2
143,32,0,985.9700681,6,259.6207281,228.01709,200.7254207,45445.25306,0,0,0,0,1,0,534,0
144,59,0,1016.309443,0,458.1834226,246.3375859,473.1743144,94290.66325,0,0,0,1,0,0,636,1
145,34,1,971.6389899,7,269.1343327,219.0067489,162.922009,41635.98199,0,0,0,0,1,0,497,0
146,33,0,278.5752489,8,312.369433,228.2315676,212.3118573,24847.21973,0,0,0,0,1,0,623,2
147,36,1,321.6078136,15,307.9019937,527.7951734,193.3943141,40918.98886,0,0,0,0,0,1,708,0
148,56,0,911.6965393,6,557.310194,206.6765413,381.6987187,96878.42091,0,0,0,1,0,0,680,1
149,34,1,974.4253299,4,299.5637628,261.5010977,187.5762123,37146.28077,0,0,0,0,0,1,542,0
150,33,0,238.6016851,11,194.7397946,539.4477415,131.1683023,44730.89892,1,0,0,0,0,0,735,0
151,36,1,1012.512696,7,283.1869039,189.1829712,174.4039099,36490.87033,0,0,0,0,1,0,568,0
152,44,1,401.1789955,16,276.7314144,498.2944374,205.7263598,37060.65287,0,0,0,0,0,1,775,0
153,55,1,992.2995105,3,603.4690439,195.5487047,391.884399,106734.0742,0,0,0,1,0,0,690,1
154,31,0,197.0135909,17,304.4637803,518.8584558,182.3053487,46922.65765,1,0,0,0,0,0,773,0
155,34,1,285.8737624,14,355.9821742,182.2654832,265.1436539,34240.75529,0,0,0,0,1,0,681,2
156,41,1,982.4775193,9,230.5725384,256.4397211,219.3184287,35057.43607,1,0,0,0,0,0,481,2
157,26,0,991.6832297,5,310.8016305,198.2185739,221.8012234,35180.64949,1,0,0,0,0,0,489,2
158,25,1,264.8096834,12,330.4130266,421.6881256,143.2860759,41829.9957,0,0,0,0,0,1,709,0
159,51,1,1031.297896,6,511.7170637,176.191328,398.3654148,97791.96099,0,0,0,1,0,0,713,1
160,30,0,1043.489771,2,346.7826466,202.1878584,299.7716815,42079.52021,0,0,0,0,1,0,563,0
161,37,0,1083.325778,5,328.8126685,149.9261846,139.642671,42610.25677,0,0,0,0,1,0,575,0
162,28,1,328.5013477,17,240.6545039,206.907533,168.8892856,28193.02828,1,0,0,0,0,0,597,2
163,31,1,342.0139286,17,278.9231032,198.6995477,246.2491493,24697.50949,0,0,0,0,1,0,586,2
164,37,0,244.2579976,16,230.6934419,464.5892048,270.668335,40517.19791,0,0,0,0,1,0,780,0
165,33,0,368.8623503,15,199.658245,516.2379635,203.6643,32953.58956,1,0,0,0,0,0,811,2
166,24,1,191.562725,17,188.9501537,296.9958368,217.815922,35514.84999,1,0,0,0,0,0,520,2
167,33,1,356.8154469,17,305.5307388,217.3372143,179.4085961,33931.57801,0,0,0,0,0,1,582,2
168,32,0,227.8941438,13,269.585869,219.8090724,245.0638569,21254.33478,0,0,0,0,0,1,540,2
169,33,0,216.2098078,15,384.8287118,503.8591606,202.0017048,44163.68383,0,0,0,0,1,0,729,0
170,23,1,282.9842728,12,288.9965838,253.4786223,174.2749559,27842.39236,0,0,0,0,1,0,734,2
171,31,0,405.433257,13,345.2706121,196.8431458,176.0977363,29240.41383,0,0,0,0,0,1,648,2
172,33,0,255.2226692,12,335.1519829,456.9847226,226.0946964,35842.23623,1,0,0,0,0,0,746,2
173,38,0,285.8342007,17,332.1465511,232.411412,203.6145409,29472.78807,0,0,0,0,0,1,570,2
174,33,1,294.2849624,16,343.0780253,189.8297516,170.405667,19597.46077,1,0,0,0,0,0,551,2
175,34,1,335.2320366,14,240.4325309,475.1816678,197.6797226,42956.97674,0,0,0,0,1,0,717,0
176,26,0,324.5083251,15,283.059248,146.224583,153.6128518,29465.11025,0,0,0,0,0,1,563,2
177,38,0,255.8509317,18,215.8721375,233.7823613,194.1354786,33011.78303,1,0,0,0,0,0,626,2
178,21,1,292.0350407,11,323.600303,152.5573642,184.529073,23263.57213,0,0,0,0,1,0,524,2
179,39,0,190.074367,14,322.2707302,282.591225,159.6444153,38002.11981,0,0,0,0,0,1,688,0
180,61,0,981.0757201,7,504.1627472,161.8913916,422.1868854,99148.83316,0,1,0,0,0,0,721,1
181,25,1,312.980955,16,296.1140346,210.8328644,216.3206707,37084.39713,0,0,0,0,1,0,609,0
182,59,0,987.8010527,4,431.4949856,184.4665747,404.6091453,108989.4672,0,0,0,1,0,0,621,1
183,39,0,1037.260287,6,314.7921263,297.5308293,166.7773953,42647.24053,1,0,0,0,0,0,547,0
184,25,1,343.9865224,18,398.062381,206.3374904,306.5495203,24194.80311,0,0,0,0,1,0,524,2
185,64,0,913.7667218,4,584.46791,123.4542838,459.4426041,106643.0026,0,0,1,0,0,0,617,1
186,29,1,365.4540216,18,267.798956,236.8843179,228.8092469,31197.03747,0,0,0,0,1,0,583,2
187,27,0,328.6146856,15,327.7979567,98.93260054,198.4386098,34793.99599,0,0,0,0,1,0,625,2
188,18,1,316.8323054,13,315.9808451,257.6038931,141.8868583,26960.84693,1,0,0,0,0,0,639,2
189,38,0,271.2028247,17,324.9909936,417.9832056,273.0574914,40063.3027,1,0,0,0,0,0,769,0
190,38,0,995.3775473,2,252.4393589,176.2472581,262.5912058,46584.07974,0,0,0,0,1,0,631,0
191,15,0,347.8772408,16,317.1403429,188.3832121,186.1818928,27431.93735,0,0,0,0,1,0,525,2
192,34,0,237.4035083,10,291.0504691,489.8459431,297.7629761,36642.74183,1,0,0,0,0,0,727,0
193,30,0,279.7863054,16,339.029866,205.6361888,189.0860931,29123.17931,1,0,0,0,0,0,545,2
194,41,0,230.1921368,14,275.491911,475.0821091,199.502969,37122.28716,0,0,0,0,1,0,653,0
195,33,0,369.8794305,17,305.5493158,521.8668807,262.2235159,37574.74655,0,0,0,0,1,0,835,0
196,32,0,1050.299398,3,329.7099713,189.6354231,179.0860326,44194.05328,1,0,0,0,0,0,550,0
197,24,1,346.9765694,11,308.7154052,185.8567812,130.3197638,27154.6503,0,0,0,0,1,0,601,2
198,25,0,367.3860118,16,339.440724,147.1225919,62.99838076,23636.14868,0,0,0,0,0,1,520,2
199,33,1,303.8689146,11,326.6518428,493.5330671,186.6323421,40844.14753,0,0,0,0,0,1,836,0
200,33,0,1062.240108,8,386.898045,278.8011868,220.5769969,42949.64344,0,0,0,0,1,0,607,0
201,29,1,261.839729,20,370.651022,107.1904635,121.2502601,34271.95642,1,0,0,0,0,0,591,2
202,44,1,270.7856769,14,294.882561,486.9641024,229.9857489,40336.30046,0,0,0,0,1,0,689,0
203,34,0,202.0068499,12,351.55314,568.199616,238.6488045,42407.63125,1,0,0,0,0,0,770,0
204,49,0,1006.191307,5,500.0583761,197.3945143,338.5546651,99093.20281,0,1,0,0,0,0,722,1
205,30,0,327.0317545,16,290.7667754,59.4776671,180.7826765,39130.62891,1,0,0,0,0,0,612,0
206,48,0,1016.608349,5,260.9501612,303.9243626,234.056913,37071.14256,0,0,0,0,0,1,500,0
207,65,1,1018.527748,3,427.7433346,214.6613751,343.805817,92601.9099,0,0,1,0,0,0,767,1
208,62,0,1046.411479,4,490.8424833,276.4674834,337.6409624,97673.50496,0,1,0,0,0,0,640,1
209,60,0,960.896944,6,471.1470312,265.0965233,399.1211394,94104.7016,0,0,0,1,0,0,693,1
210,27,0,220.2990355,12,359.4093585,512.8965213,138.1105979,33298.95516,0,0,0,0,1,0,766,2
211,60,1,1014.562556,4,465.4479454,186.140983,276.3119538,98361.88993,0,0,0,1,0,0,687,1
212,29,0,369.3214459,15,297.3728897,149.7501297,250.5752141,31890.33272,1,0,0,0,0,0,617,2
213,42,1,1055.895883,4,309.5074646,295.9403878,199.4427744,37683.71848,0,0,0,0,1,0,551,0
214,29,0,429.3178686,15,299.1403766,474.1699413,137.6885558,35762.52664,0,0,0,0,0,1,721,2
215,60,0,1034.743661,5,503.4567748,228.345185,420.7432606,99405.54087,0,1,0,0,0,0,625,1
216,35,0,997.5101933,9,345.3779087,228.589169,243.1577078,35284.94554,1,0,0,0,0,0,458,2
217,31,1,304.9690629,15,315.7102565,430.7644619,206.6940473,45072.65943,0,0,0,0,1,0,815,0
218,39,1,325.5503549,13,250.3946432,479.9852528,206.0915963,33595.23862,1,0,0,0,0,0,838,2
219,30,1,372.6174236,12,287.4018805,435.881553,101.6757888,30805.56431,1,0,0,0,0,0,766,2
220,37,1,961.3392102,6,260.4374057,127.937591,102.590429,45275.46675,0,0,0,0,0,1,560,0
221,60,0,946.070445,4,528.1416829,216.0472948,409.4449678,96174.35198,0,0,1,0,0,0,701,1
222,71,0,912.1160509,6,564.6333051,212.7432601,464.664867,104822.1236,0,1,0,0,0,0,726,1
223,49,0,1013.373143,6,497.661174,217.3536094,467.3065723,100917.4268,0,1,0,0,0,0,732,1
224,29,1,236.8633205,13,259.2450489,216.6005515,164.5210678,24541.20045,0,0,0,0,0,1,668,2
225,20,1,376.7758682,15,273.6461166,198.0566708,154.3861126,34189.91308,0,0,0,0,1,0,620,2
226,26,0,301.8601403,14,241.2165455,506.8813552,288.3390565,34468.13578,0,0,0,0,0,1,670,2
227,64,1,1017.491245,6,463.5711088,269.1112151,394.0096471,92671.63881,0,1,0,0,0,0,711,1
228,25,1,367.4845833,17,334.5927158,142.4921294,190.740768,32396.85278,0,0,0,0,1,0,564,2
229,27,0,934.125041,4,252.7857376,213.2174249,244.9474898,35896.9443,1,0,0,0,0,0,410,2
230,39,1,247.6022687,16,348.7375613,576.9596309,161.433449,36247.51976,1,0,0,0,0,0,748,0
231,41,1,265.5189884,13,326.574519,190.7207681,211.9140609,26501.97947,0,0,0,0,1,0,530,2
232,33,1,933.5731869,5,288.4196712,179.7179472,217.5301146,39983.35256,1,0,0,0,0,0,465,0
233,64,0,988.5178774,6,575.1910424,163.5796274,345.8326326,97372.94422,0,0,1,0,0,0,810,1
234,27,1,341.2003652,17,348.3925278,212.7425726,182.1917677,31021.85049,0,0,0,0,1,0,652,2
235,33,1,198.4244162,13,276.3415797,414.9002754,238.4778861,41279.58854,0,0,0,0,1,0,697,0
236,31,1,396.9173363,16,288.4210462,289.4279503,169.4514776,28249.73419,0,0,0,0,0,1,485,2
237,38,0,963.4788111,5,360.8902886,208.5393407,120.5640827,39876.6862,0,0,0,0,1,0,444,0
238,41,1,1028.890639,7,209.3486974,220.3335877,190.5230014,32423.1543,1,0,0,0,0,0,618,2
239,35,1,943.2780741,3,269.1868551,221.6320074,208.7752443,25107.8371,1,0,0,0,0,0,516,2
240,37,0,1019.244136,3,282.2196908,254.181553,191.6600444,40980.84462,0,0,0,0,1,0,574,0
241,59,1,1044.42642,5,477.1374276,129.8402112,379.1645263,98279.05588,0,1,0,0,0,0,707,1
242,60,1,988.9375323,7,389.7097291,253.085063,491.8161327,101462.137,0,1,0,0,0,0,709,1
243,38,0,311.8395937,15,233.2487262,436.3347157,173.7131555,39447.85065,1,0,0,0,0,0,724,0
244,31,1,313.9120609,15,258.5254672,543.7603339,237.4748899,42014.25455,0,0,0,0,0,1,763,0
245,60,1,949.535388,6,477.222952,295.1151217,448.6675838,95022.0903,0,0,1,0,0,0,706,1
246,39,0,255.4807968,18,279.4147946,543.0716297,232.1668981,48573.16667,1,0,0,0,0,0,735,0
247,65,0,1058.09498,6,564.3026368,140.5223711,407.5106033,96072.79057,0,0,0,1,0,0,654,1
248,25,0,305.0200521,14,367.3876052,267.7710725,253.3563174,34075.92247,0,0,0,0,0,1,558,2
249,65,1,1020.634922,6,435.3773869,153.2663023,372.2343412,106124.661,0,0,1,0,0,0,727,1
250,35,1,220.4665712,15,302.5535273,594.9711043,250.7345608,34018.58233,0,0,0,0,1,0,786,2
251,24,1,244.2209902,12,246.4261142,219.8686197,249.5409375,20928.13102,0,0,0,0,1,0,650,2
252,31,0,974.5792812,5,310.8566725,197.5243315,240.4025848,32225.85234,0,0,0,0,0,1,612,2
253,32,1,301.148654,12,263.3935672,475.233753,186.3556413,38831.74138,1,0,0,0,0,0,793,0
254,41,0,1033.700944,2,222.190134,92.06998445,248.6894886,32039.63927,0,0,0,0,0,1,610,2
255,32,1,225.2120557,15,328.7515137,474.7202555,241.0754577,43454.10233,0,0,0,0,0,1,810,0
